#this file has been interpolated to have an equally spaced grid																																
#this file has been interpolated to have an equally spaced grid																																
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)																																
#alt in km, Tgas in K, chemical species in molecules/cm3																																
5 28																																
index	alt	dummy	Kzz	Tgas	N2	O2	O3	OH	O	CO2	CO	HO2	H2O	NO2	COS	CS2	CS	H	H2S	SH	S	SO	SO2	SO3	HSO	HSO2	HSO3	H2SO4	H2	N	DMS	SO4
1	1	902.21929 	1.00E+05	282 	1.83E+19	5.00E+18	6.77E+11	1.81E+06	8.11E+02	8.46E+15	1.30E+12	6.06E+08	1.50E+17	1.37E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2	2	797.63786 	1.00E+05	275 	1.60E+19	4.41E+18	6.17E+11	1.25E+06	9.12E+02	6.60E+15	1.30E+12	4.64E+08	8.95E+16	1.00E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3	3	703.47653 	1.00E+05	269 	1.40E+19	3.86E+18	5.74E+11	9.13E+05	1.06E+03	5.78E+15	1.30E+12	3.76E+08	4.97E+16	6.96E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4	4	618.19355 	1.00E+05	262 	1.22E+19	3.35E+18	5.66E+11	8.75E+05	1.30E+03	5.02E+15	1.30E+12	2.27E+08	2.52E+16	5.08E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5	5	541.80886 	1.00E+05	256 	1.07E+19	2.89E+18	5.66E+11	8.57E+05	1.65E+03	4.34E+15	1.30E+12	1.84E+08	1.25E+16	4.12E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6	6	472.96440 	1.00E+05	249 	9.33E+18	2.48E+18	6.14E+11	8.57E+05	2.24E+03	3.71E+15	1.28E+12	1.29E+08	6.31E+15	3.81E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7	7	411.18493 	1.00E+05	243 	8.15E+18	2.11E+18	7.48E+11	8.21E+05	3.53E+03	3.16E+15	1.24E+12	1.01E+08	3.02E+15	3.71E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8	8	356.01878 	1.00E+05	236 	7.12E+18	1.77E+18	9.17E+11	7.78E+05	5.53E+03	2.65E+15	1.20E+12	7.29E+07	1.04E+15	3.71E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
9	9	305.89279 	8.94E+04	230 	6.22E+18	1.48E+18	1.24E+12	7.38E+05	9.75E+03	2.22E+15	1.17E+12	5.92E+07	3.98E+14	3.81E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
10	10	260.87291 	4.90E+04	225 	5.43E+18	1.22E+18	1.60E+12	7.62E+05	1.69E+04	1.85E+15	1.10E+12	5.25E+07	1.89E+14	4.02E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
11	11	222.53259 	2.26E+04	221 	4.75E+18	1.04E+18	1.96E+12	7.86E+05	2.71E+04	1.54E+15	1.00E+12	4.66E+07	9.64E+13	4.58E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
12	12	190.59133 	1.17E+04	220 	4.15E+18	8.79E+17	2.21E+12	7.86E+05	4.17E+04	1.31E+15	9.00E+11	4.39E+07	5.10E+13	6.10E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
13	13	161.12042 	6.81E+03	219 	3.62E+18	7.44E+17	2.42E+12	7.54E+05	6.26E+04	1.11E+15	8.00E+11	4.26E+07	2.75E+13	8.58E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
14	14	136.30518 	5.17E+03	218 	3.16E+18	6.28E+17	2.73E+12	6.92E+05	9.72E+04	9.41E+14	6.60E+11	4.26E+07	2.41E+13	1.09E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
15	15	115.65243 	4.29E+03	217 	2.76E+18	5.29E+17	3.05E+12	6.49E+05	1.50E+05	7.96E+14	5.03E+11	4.52E+07	2.09E+13	1.34E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
16	16	98.66364 	3.95E+03	217 	2.41E+18	4.52E+17	3.34E+12	6.42E+05	2.28E+05	6.80E+14	3.48E+11	4.80E+07	1.82E+13	1.65E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
17	17	84.09121 	3.90E+03	217 	2.11E+18	3.86E+17	3.81E+12	6.63E+05	3.62E+05	5.80E+14	2.20E+11	5.25E+07	1.58E+13	1.88E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
18	18	71.19758 	4.00E+03	217 	1.84E+18	3.30E+17	4.19E+12	7.30E+05	5.58E+05	4.96E+14	1.66E+11	5.41E+07	1.47E+13	2.03E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
