0          References for Cross Section of CH3OOH    CH3O/OH 
Cross section:                                                                  
Lambda = 1.00-2000. A                                                           
   From H2CO2 data                                                              
Lambda = 2100.-3500. A                                                          
   Molina, M. J., Arguello, G. (1979)                                           
   Geophys. Res. Lett. 6, 953                                                   
Threshold:                                                                      
   From heats of formation (CH3OOH: 17 kcal/mol)                                
                                                                                
0 Branching ratio for CH3OOH   CH3O/OH      0 branches
  Lambda  CH3O/OH 
    1.00  1.60E-22
   10.00  1.50E-19
   22.50  1.50E-18
   23.50  3.00E-19
   41.00  1.20E-18
   43.00  2.20E-19
   50.00  4.20E-19
  100.00  2.80E-18
  200.00  1.05E-17
  300.00  1.70E-17
  400.00  2.30E-17
  500.00  2.70E-17
  600.00  2.85E-17
  800.00  3.00E-17
  900.00  3.90E-17
  902.00  3.93E-17
 1000.00  7.00E-17
 1100.00  5.12E-16
 1111.00  4.88E-16
 1122.00  3.60E-16
 1149.00  3.64E-16
 1170.00  2.83E-16
 1205.00  3.32E-16
 1227.00  3.13E-16
 1282.00  1.14E-16
 1404.00  2.53E-16
 1408.00  3.21E-16
 1422.00  3.54E-16
 1435.00  4.76E-16
 1445.00  4.54E-16
 1460.00  5.76E-16
 1475.00  5.38E-16
 1488.00  6.28E-16
 1511.00  4.46E-16
 1520.00  5.12E-16
 1555.00  1.95E-16
 1595.00  1.20E-16
 1650.00  1.44E-16
 1786.00  1.50E-17
 1818.00  8.57E-20
 2000.00  2.40E-18
 2100.00  3.75E-19
 2200.00  2.20E-19
 2300.00  1.38E-19
 2400.00  8.80E-20
 2500.00  5.80E-20
 2600.00  3.80E-20
 2700.00  2.50E-20
 2800.00  1.50E-20
 2900.00  9.00E-21
 3000.00  5.80E-21
 3100.00  3.40E-21
 3200.00  1.90E-21
 3300.00  1.10E-21
 3400.00  6.00E-22
 3500.00  4.00E-22
 3600.00  1.00E-24
 6470.00  1.00E-35
