0          References for Cross Section of H-        Total   
Cross section:                                                                  
Lambda = 500.00 - 16000.00 A                                                    
   Geltman, S. (1962)                                                           
   Astrophys. J. 136, 935.                                                      
Lambda = 180.00 - 16640.00 A                                                    
   Broad, J. T., Reinhardt W. R. (1976)                                         
   Phys. Rev. A14, 2159.                                                        
Threshold (for H- detachment):                                                  
Lambda = 16439. A                                                               
   Lykke, K. R., Murray, K. K., Lineberger, W. C., (1991)                       
   Phys. Rev. A 43, 6104-6107.                                                  
   Rienstra-Kiracofe, J. C., Tschumper, G. S., F. Schaefer III, H. F.,          
   Sreela N., Ellison, G. B. (2002)                                             
   Chem. Rev. 102, 231-282.                                                     
                                                                                
0          References for Cross Section of H-        H+/2e   
Two-electron photoejection from H- (negative hydrogen ion)                      
Branching ratio (from cross sections):                                          
Lambda = 180.26 - 847.36 A                                                      
   Broad, J. T., Reinhardt, W. P. (1976)                                        
   Phys. Re. A 14, 2159-2173, Fig. 4.                                           
Threshold (for 2-electron ejection):                                            
Lambda = 863.4094 A.                                                            
                                                                                
0 Branching ratio for H-       Total        2 branches
 Lambda  Total   H+/2e    H/e     
    1.0 2.00E-27 0.00E+00 2.00E-27
    5.2 6.11E-25 4.58E-28 6.11E-25
   10.0 5.60E-24 9.00E-27 5.59E-24
   15.5 2.40E-23 6.22E-26 2.39E-23
   20.0 5.53E-23 1.87E-25 5.51E-23
   24.6 8.38E-23 3.53E-25 8.34E-23
   29.1 1.92E-22 9.64E-25 1.91E-22
   34.5 3.32E-22 1.98E-24 3.30E-22
   40.8 5.72E-22 4.06E-24 5.68E-22
   44.4 7.50E-22 5.81E-24 7.44E-22
   50.3 1.13E-21 9.95E-24 1.12E-21
   54.7 1.47E-21 1.41E-23 1.46E-21
   59.5 1.93E-21 2.02E-23 1.91E-21
   64.7 2.52E-21 2.87E-23 2.49E-21
   70.5 3.29E-21 4.08E-23 3.25E-21
   73.5 3.76E-21 4.86E-23 3.71E-21
   76.6 4.29E-21 5.79E-23 4.23E-21
   79.9 4.90E-21 6.90E-23 4.83E-21
   83.3 5.59E-21 8.21E-23 5.51E-21
   86.9 6.38E-21 9.78E-23 6.28E-21
   90.6 7.28E-21 1.16E-22 7.16E-21
   94.5 8.31E-21 1.39E-22 8.17E-21
   98.6 9.47E-21 1.65E-22 9.31E-21
  102.8 1.08E-20 1.96E-22 1.06E-20
  107.3 1.23E-20 2.33E-22 1.21E-20
  111.8 1.40E-20 2.77E-22 1.37E-20
  116.6 1.60E-20 3.30E-22 1.57E-20
  121.7 1.82E-20 3.92E-22 1.78E-20
  126.9 2.07E-20 4.65E-22 2.02E-20
  132.3 2.36E-20 5.53E-22 2.30E-20
  138.0 2.69E-20 6.58E-22 2.62E-20
  143.9 3.06E-20 7.81E-22 2.98E-20
  150.1 3.47E-20 9.24E-22 3.38E-20
