0 Branching ratio for H2O       Total        1 branches
Lambda          Total           OH/H              H2/O
1200.00   6.32E-18  6.32E-18  0.00E+00
1201.00   5.85E-18  5.85E-18  0.00E+00
1202.00   5.38E-18  5.38E-18  0.00E+00
1203.00   4.91E-18  4.91E-18  0.00E+00
1204.00   4.52E-18  4.52E-18  0.00E+00
1205.00   4.38E-18  4.38E-18  0.00E+00
1206.00   4.33E-18  4.33E-18  0.00E+00
1207.00   4.36E-18  4.36E-18  0.00E+00
1208.00   4.67E-18  4.67E-18  0.00E+00
1209.00   5.21E-18  5.21E-18  0.00E+00
1210.00   6.04E-18  6.04E-18  0.00E+00
1211.00   7.02E-18  7.02E-18  0.00E+00
1212.00   8.21E-18  8.21E-18  0.00E+00
1213.00   9.70E-18  9.70E-18  0.00E+00
1214.00   1.14E-17  1.14E-17  0.00E+00
1215.00   1.30E-17  1.30E-17  0.00E+00
1216.00   1.45E-17  1.45E-17  0.00E+00
1217.00   1.53E-17  1.53E-17  0.00E+00
1218.00   1.58E-17  1.58E-17  0.00E+00
1219.00   1.76E-17  1.76E-17  0.00E+00
1220.00   1.79E-17  1.79E-17  0.00E+00
1221.00   1.72E-17  1.72E-17  0.00E+00
1222.00   1.61E-17  1.61E-17  0.00E+00
1223.00   1.41E-17  1.41E-17  0.00E+00
1224.00   1.10E-17  1.10E-17  0.00E+00
1225.00   7.63E-18  7.63E-18  0.00E+00
1226.00   4.99E-18  4.99E-18  0.00E+00
1227.00   3.46E-18  3.46E-18  0.00E+00
1228.00   2.78E-18  2.78E-18  0.00E+00
1229.00   2.57E-18  2.57E-18  0.00E+00
1230.00   2.64E-18  2.64E-18  0.00E+00
1231.00   2.90E-18  2.90E-18  0.00E+00
1232.00   3.24E-18  3.24E-18  0.00E+00
1233.00   3.65E-18  3.65E-18  0.00E+00
1234.01   4.07E-18  4.07E-18  0.00E+00
1235.01   4.67E-18  4.67E-18  0.00E+00
1236.01   6.07E-18  6.07E-18  0.00E+00
1237.01   1.08E-17  1.08E-17  0.00E+00
1238.01   1.66E-17  1.66E-17  0.00E+00
1239.01   1.35E-17  1.35E-17  0.00E+00
1240.01   1.41E-17  1.41E-17  0.00E+00
1241.01   1.37E-17  1.37E-17  0.00E+00
1242.01   9.17E-18  9.17E-18  0.00E+00
1243.01   7.75E-18  7.75E-18  0.00E+00
1244.01   7.12E-18  7.12E-18  0.00E+00
1245.01   6.33E-18  6.33E-18  0.00E+00
1246.01   5.95E-18  5.95E-18  0.00E+00
1247.01   5.92E-18  5.92E-18  0.00E+00
1248.01   5.97E-18  5.97E-18  0.00E+00
1249.01   6.05E-18  6.05E-18  0.00E+00
1250.01   6.15E-18  6.15E-18  0.00E+00
1251.01   6.30E-18  6.30E-18  0.00E+00
1252.01   6.47E-18  6.47E-18  0.00E+00
1253.01   6.66E-18  6.66E-18  0.00E+00
1254.01   6.83E-18  6.83E-18  0.00E+00
1255.01   6.97E-18  6.97E-18  0.00E+00
1256.01   7.08E-18  7.08E-18  0.00E+00
1257.01   7.12E-18  7.12E-18  0.00E+00
1258.01   7.07E-18  7.07E-18  0.00E+00
1259.01   6.95E-18  6.95E-18  0.00E+00
1260.01   6.99E-18  6.99E-18  0.00E+00
1261.01   7.09E-18  7.09E-18  0.00E+00
1262.01   7.20E-18  7.20E-18  0.00E+00
1263.01   7.32E-18  7.32E-18  0.00E+00
1264.01   7.48E-18  7.48E-18  0.00E+00
1265.01   7.66E-18  7.66E-18  0.00E+00
1266.01   7.87E-18  7.87E-18  0.00E+00
1267.01   8.07E-18  8.07E-18  0.00E+00
1268.01   8.11E-18  8.11E-18  0.00E+00
1269.01   8.07E-18  8.07E-18  0.00E+00
1270.01   8.00E-18  8.00E-18  0.00E+00
1271.01   7.96E-18  7.96E-18  0.00E+00
1272.01   7.85E-18  7.85E-18  0.00E+00
1273.01   7.75E-18  7.75E-18  0.00E+00
1274.01   7.67E-18  7.67E-18  0.00E+00
1275.01   7.73E-18  7.73E-18  0.00E+00
1276.01   7.82E-18  7.82E-18  0.00E+00
1277.01   8.01E-18  8.01E-18  0.00E+00
