0          References for Cross Section of H2O2      OH/OH   
Cross section:                                                                  
Lambda = 1.-1000. A                                                             
   Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 1200.-1950. A                                                          
   Lin, C. L., Rohatgi, N. K., Demore, W. B. (1978)                             
   Geophys. Res. Lett. 5, 113                                                   
Lambda = 1950.-3500. A                                                          
   Schuergers, M., Welge, K. H. (1968)                                          
   Z. Naturforsch. 23a, 1508                                                    
                                                                                
0 Branching ratio for H2O2     OH/OH        0 branches
  Lambda  OH/OH   
    1.00  2.00E-22
    5.00  2.00E-20
   10.00  2.00E-19
   22.60  1.10E-18
   23.60  6.00E-20
  100.00  2.00E-18
  200.00  1.00E-17
  300.00  2.00E-17
  400.00  2.50E-17
  500.00  3.00E-17
  600.00  3.40E-17
  700.00  3.50E-17
  800.00  3.00E-17
  900.00  2.40E-17
 1000.00  1.00E-17
 1200.00  1.00E-17
 1250.00  1.00E-17
 1300.00  9.67E-18
 1350.00  7.81E-18
 1400.00  5.58E-18
 1450.00  4.28E-18
 1500.00  3.72E-18
 1550.00  3.53E-18
 1600.00  3.72E-18
 1650.00  4.09E-18
 1700.00  3.53E-18
 1750.00  2.05E-18
 1800.00  1.30E-18
 1850.00  1.04E-18
 1900.00  6.72E-19
 1950.00  5.63E-19
 2000.00  4.75E-19
 2050.00  3.98E-19
 2100.00  3.49E-19
 2150.00  2.99E-19
 2200.00  2.54E-19
 2250.00  2.13E-19
 2300.00  1.79E-19
 2350.00  1.48E-19
 2400.00  1.22E-19
 2450.00  1.00E-19
 2500.00  8.30E-20
 2550.00  6.70E-20
 2600.00  5.20E-20
 2650.00  4.20E-20
 2700.00  3.20E-20
 2750.00  2.50E-20
 2800.00  2.00E-20
 2850.00  1.50E-20
 2900.00  1.13E-20
 2950.00  8.70E-21
 3000.00  6.60E-21
 3050.00  4.90E-21
 3100.00  3.70E-21
 3150.00  2.80E-21
 3200.00  2.00E-21
 3250.00  1.50E-21
 3300.00  1.20E-21
 3350.00  9.00E-22
 3400.00  7.00E-22
 3450.00  5.00E-22
 3500.00  3.00E-22
 5765.00  1.00E-35
