0 Branching ratio for HCN     Total         1 branches
Lambda         Total      CN/H
1200   1.69644E-18   1.69644E-18
1201   1.69502E-18   1.69502E-18
1202   1.6936E-18   1.6936E-18
1203   1.69219E-18   1.69219E-18
1204   1.69077E-18   1.69077E-18
1205   1.68935E-18   1.68935E-18
1206   1.68793E-18   1.68793E-18
1207   1.68652E-18   1.68652E-18
1208   1.6851E-18   1.6851E-18
1209   1.68368E-18   1.68368E-18
1210   1.68226E-18   1.68226E-18
1211   1.68085E-18   1.68085E-18
1212   1.67943E-18   1.67943E-18
1213   1.67801E-18   1.67801E-18
1214   1.6766E-18   1.6766E-18
1215   1.67518E-18   1.67518E-18
1216   1.67376E-18   1.67376E-18
1217   1.67234E-18   1.67234E-18
1218   1.67093E-18   1.67093E-18
1219   1.66951E-18   1.66951E-18
1220   1.66809E-18   1.66809E-18
1221   1.66667E-18   1.66667E-18
1222   1.66526E-18   1.66526E-18
1223   1.66384E-18   1.66384E-18
1224   1.66242E-18   1.66242E-18
1225   1.66101E-18   1.66101E-18
1226   1.65959E-18   1.65959E-18
1227   1.65817E-18   1.65817E-18
1228   1.65675E-18   1.65675E-18
1229   1.65534E-18   1.65534E-18
1230   1.65392E-18   1.65392E-18
1231   1.6525E-18   1.6525E-18
1232   1.65108E-18   1.65108E-18
1233   1.64967E-18   1.64967E-18
1234.01   1.64824E-18   1.64824E-18
1235.01   1.64682E-18   1.64682E-18
1236.01   1.6454E-18   1.6454E-18
1237.01   1.64398E-18   1.64398E-18
1238.01   1.64257E-18   1.64257E-18
1239.01   1.64115E-18   1.64115E-18
1240.01   1.63973E-18   1.63973E-18
1241.01   1.63832E-18   1.63832E-18
1242.01   1.6369E-18   1.6369E-18
1243.01   1.63548E-18   1.63548E-18
1244.01   1.63406E-18   1.63406E-18
1245.01   1.63265E-18   1.63265E-18
1246.01   1.63123E-18   1.63123E-18
1247.01   1.62981E-18   1.62981E-18
1248.01   1.62839E-18   1.62839E-18
1249.01   1.62698E-18   1.62698E-18
1250.01   1.62556E-18   1.62556E-18
1251.01   1.62414E-18   1.62414E-18
1252.01   1.62273E-18   1.62273E-18
1253.01   1.62131E-18   1.62131E-18
1254.01   1.61989E-18   1.61989E-18
1255.01   1.61847E-18   1.61847E-18
1256.01   1.61706E-18   1.61706E-18
1257.01   1.61564E-18   1.61564E-18
1258.01   1.61422E-18   1.61422E-18
1259.01   1.6128E-18   1.6128E-18
1260.01   1.61139E-18   1.61139E-18
1261.01   1.60997E-18   1.60997E-18
1262.01   1.60855E-18   1.60855E-18
1263.01   1.60713E-18   1.60713E-18
1264.01   1.60572E-18   1.60572E-18
1265.01   1.6043E-18   1.6043E-18
1266.01   1.60288E-18   1.60288E-18
1267.01   1.60147E-18   1.60147E-18
1268.01   1.60005E-18   1.60005E-18
1269.01   1.59863E-18   1.59863E-18
1270.01   1.59721E-18   1.59721E-18
1271.01   1.5958E-18   1.5958E-18
1272.01   1.59438E-18   1.59438E-18
1273.01   1.59296E-18   1.59296E-18
1274.01   1.59154E-18   1.59154E-18
1275.01   1.59013E-18   1.59013E-18
1276.01   1.61328E-18   1.61328E-18
1277.01   1.62891E-18   1.62891E-18
1278.01   1.64453E-18   1.64453E-18
1279.01   1.65974E-18   1.65974E-18
1280.01   1.63394E-18   1.63394E-18
1281.01   1.60813E-18   1.60813E-18
1282.01   1.58232E-18   1.58232E-18
1283.01   1.671E-18   1.671E-18
1284.01   1.771E-18   1.771E-18
1285.01   1.85539E-18   1.85539E-18
1286.01   1.81345E-18   1.81345E-18
1287.01   1.77152E-18   1.77152E-18
1288.01   1.72966E-18   1.72966E-18
1289.01   1.69528E-18   1.69528E-18
1290.01   1.66091E-18   1.66091E-18
1291.01   1.62653E-18   1.62653E-18
1292.01   1.6335E-18   1.6335E-18
1293.01   1.65017E-18   1.65017E-18
1294.01   1.66683E-18   1.66683E-18
1295.01   1.64126E-18   1.64126E-18
1296.01   1.60577E-18   1.60577E-18
1297.01   1.57029E-18   1.57029E-18
1298.01   1.63484E-18   1.63484E-18
1299.01   1.74024E-18   1.74024E-18
1300.01   1.84565E-18   1.84565E-18
1301.01   1.95007E-18   1.95007E-18
1302.02   1.9568E-18   1.9568E-18
1303.02   1.96347E-18   1.96347E-18
1304.02   1.96916E-18   1.96916E-18
1305.02   1.92723E-18   1.92723E-18
1306.02   1.88529E-18   1.88529E-18
1307.02   1.84335E-18   1.84335E-18
1308.02   2.0286E-18   2.0286E-18
1309.02   2.2336E-18   2.2336E-18
1310.02   2.46905E-18   2.46905E-18
1311.02   2.70714E-18   2.70714E-18
1312.02   2.65092E-18   2.65092E-18
1313.02   2.53008E-18   2.53008E-18
1314.02   2.39509E-18   2.39509E-18
1315.02   2.24055E-18   2.24055E-18
1316.02   2.11492E-18   2.11492E-18
1317.02   2.09185E-18   2.09185E-18
1318.02   2.06877E-18   2.06877E-18
1319.02   2.00277E-18   2.00277E-18
1320.02   1.91046E-18   1.91046E-18
1321.02   1.825E-18   1.825E-18
1322.02   2.075E-18   2.075E-18
1323.02   2.32635E-18   2.32635E-18
1324.02   2.644E-18   2.644E-18
1325.02   2.82133E-18   2.82133E-18
1326.02   2.7005E-18   2.7005E-18
1327.02   2.57967E-18   2.57967E-18
1328.02   2.6068E-18   2.6068E-18
1329.02   2.6468E-18   2.6468E-18
1330.02   2.67E-18   2.67E-18
1331.02   2.67E-18   2.67E-18
1332.02   2.67E-18   2.67E-18
1333.02   2.54167E-18   2.54167E-18
1334.02   2.23611E-18   2.23611E-18
1335.02   1.94729E-18   1.94729E-18
1336.02   2.12286E-18   2.12286E-18
1337.02   3.90857E-18   3.90857E-18
1338.02   5.43267E-18   5.43267E-18
1339.02   6.58291E-18   6.58291E-18
1340.02   7.70564E-18   7.70564E-18
1341.02   5.27933E-18   5.27933E-18
1342.02   2.47486E-18   2.47486E-18
1343.02   1.86057E-18   1.86057E-18
1344.02   1.48471E-18   1.48471E-18
1345.02   1.21344E-18   1.21344E-18
1346.02   1.32544E-18   1.32544E-18
1347.02   1.43744E-18   1.43744E-18
1348.02   1.99537E-18   1.99537E-18
1349.02   2.83829E-18   2.83829E-18
1350.02   5.16556E-18   5.16556E-18
1351.02   5.50169E-18   5.50169E-18
1352.02   4.66886E-18   4.66886E-18
1353.02   4.11171E-18   4.11171E-18
1354.02   4.79055E-18   4.79055E-18
1355.02   6.4485E-18   6.4485E-18
1356.02   6.028E-18   6.028E-18
1357.02   2.8395E-18   2.8395E-18
1358.02   1.885E-18   1.885E-18
1359.02   1.635E-18   1.635E-18
1360.02   1.385E-18   1.385E-18
1361.02   1.86354E-18   1.86354E-18
1362.02   2.6055E-18   2.6055E-18
1363.02   3.08E-18   3.08E-18
1364.02   3.41333E-18   3.41333E-18
1365.02   3.99967E-18   3.99967E-18
1366.02   3.822E-18   3.822E-18
1367.02   5.306E-18   5.306E-18
1368.02   1.24103E-17   1.24103E-17
1369.02   1.77075E-17   1.77075E-17
1370.03   1.99943E-17   1.99943E-17
1371.03   3.3285E-18   3.3285E-18
1372.03   2.61183E-18   2.61183E-18
1373.03   2.34286E-18   2.34286E-18
1374.03   2.16559E-18   2.16559E-18
1375.03   1.89618E-18   1.89618E-18
1376.03   1.57265E-18   1.57265E-18
1377.03   1.47168E-18   1.47168E-18
1378.03   1.39675E-18   1.39675E-18
1379.03   1.708E-18   1.708E-18
1380.03   2.308E-18   2.308E-18
1381.03   3.6148E-18   3.6148E-18
1382.03   9.9424E-18   9.9424E-18
1383.03   1.81633E-17   1.81633E-17
1384.03   2.069E-17   2.069E-17
1385.03   5.148E-18   5.148E-18
1386.03   3.0139E-18   3.0139E-18
1387.03   2.07016E-18   2.07016E-18
1388.03   1.54911E-18   1.54911E-18
1389.03   1.15839E-18   1.15839E-18
1390.03   1.0323E-18   1.0323E-18
1391.03   9.185E-19   9.185E-19
1392.03   1.20183E-18   1.20183E-18
1393.03   1.58793E-18   1.58793E-18
1394.03   1.88211E-18   1.88211E-18
1395.03   2.02656E-18   2.02656E-18
1396.03   2.171E-18   2.171E-18
1397.03   7.258E-18   7.258E-18
1398.03   1.50938E-17   1.50938E-17
1399.03   2.00329E-17   2.00329E-17
1400.03   1.756E-17   1.756E-17
1401.03   4.9364E-18   4.9364E-18
1402.03   2.6161E-18   2.6161E-18
1403.03   1.8861E-18   1.8861E-18
1404.03   1.30488E-18   1.30488E-18
1405.03   9.2088E-19   9.2088E-19
1406.03   7.45604E-19   7.45604E-19
1407.03   5.86039E-19   5.86039E-19
1408.03   6.60445E-19   6.60445E-19
1409.03   8.72264E-19   8.72264E-19
1410.03   1.2639E-18   1.2639E-18
1411.03   1.8939E-18   1.8939E-18
1412.03   3.33329E-18   3.33329E-18
1413.03   9.924E-18   9.924E-18
1414.03   1.69286E-17   1.69286E-17
1415.03   4.63433E-18   4.63433E-18
1416.03   2.22211E-18   2.22211E-18
1417.03   1.7625E-18   1.7625E-18
1418.03   1.5125E-18   1.5125E-18
1419.03   1.32594E-18   1.32594E-18
1420.03   1.35174E-18   1.35174E-18
1421.03   1.37755E-18   1.37755E-18
1422.03   1.39913E-18   1.39913E-18
1423.03   1.39247E-18   1.39247E-18
1424.03   1.29944E-18   1.29944E-18
1425.03   1.16724E-18   1.16724E-18
1426.03   1.40841E-18   1.40841E-18
1427.03   1.87969E-18   1.87969E-18
1428.03   2.9316E-18   2.9316E-18
1429.03   7.9965E-18   7.9965E-18
1430.03   1.25254E-17   1.25254E-17
1431.03   8.13833E-18   8.13833E-18
1432.03   3.3652E-18   3.3652E-18
1433.03   2.413E-18   2.413E-18
1434.03   1.83355E-18   1.83355E-18
1435.03   1.679E-18   1.679E-18
1436.03   1.50595E-18   1.50595E-18
1437.03   1.27095E-18   1.27095E-18
1438.04   1.08198E-18   1.08198E-18
1439.04   1.04854E-18   1.04854E-18
1440.04   1.0151E-18   1.0151E-18
1441.04   9.81883E-19   9.81883E-19
1442.04   9.53952E-19   9.53952E-19
1443.04   9.26021E-19   9.26021E-19
1444.04   9.74291E-19   9.74291E-19
1445.04   1.50785E-18   1.50785E-18
1446.04   2.454E-18   2.454E-18
1447.04   4.942E-18   4.942E-18
1448.04   8.11291E-18   8.11291E-18
1449.04   4.80867E-18   4.80867E-18
1450.04   2.752E-18   2.752E-18
1451.04   1.60429E-18   1.60429E-18
1452.04   1.09454E-18   1.09454E-18
1453.04   8.80733E-19   8.80733E-19
1454.04   7.2228E-19   7.2228E-19
1455.04   6.3428E-19   6.3428E-19
1456.04   5.4628E-19   5.4628E-19
1457.04   4.79563E-19   4.79563E-19
1458.04   4.39933E-19   4.39933E-19
1459.04   4.00304E-19   4.00304E-19
1460.04   4.9234E-19   4.9234E-19
1461.04   6.30638E-19   6.30638E-19
1462.04   7.68936E-19   7.68936E-19
1463.04   9.07234E-19   9.07234E-19
1464.04   1.061E-18   1.061E-18
1465.04   2.978E-18   2.978E-18
1466.04   4.714E-18   4.714E-18
1467.04   1.704E-18   1.704E-18
1468.04   1.08572E-18   1.08572E-18
1469.04   9.16894E-19   9.16894E-19
1470.04   8.1454E-19   8.1454E-19
1471.04   7.3554E-19   7.3554E-19
1472.04   6.65843E-19   6.65843E-19
1473.04   5.99414E-19   5.99414E-19
1474.04   5.32986E-19   5.32986E-19
1475.04   5.2806E-19   5.2806E-19
1476.04   5.2706E-19   5.2706E-19
1477.04   5.2606E-19   5.2606E-19
1478.04   4.99421E-19   4.99421E-19
1479.04   4.71145E-19   4.71145E-19
1480.04   4.47531E-19   4.47531E-19
1481.04   5.35817E-19   5.35817E-19
1482.04   6.24103E-19   6.24103E-19
1483.04   7.12389E-19   7.12389E-19
1484.04   2.24889E-18   2.24889E-18
1485.04   2.35733E-18   2.35733E-18
1486.04   1.09585E-18   1.09585E-18
1487.04   7.83431E-19   7.83431E-19
1488.04   6.01892E-19   6.01892E-19
1489.04   4.34618E-19   4.34618E-19
1490.04   3.42044E-19   3.42044E-19
1491.04   2.63526E-19   2.63526E-19
1492.04   1.9477E-19   1.9477E-19
1493.04   1.85982E-19   1.85982E-19
1494.04   1.77194E-19   1.77194E-19
1495.04   1.68406E-19   1.68406E-19
1496.04   2.2412E-19   2.2412E-19
1497.04   2.9212E-19   2.9212E-19
1498.04   3.6012E-19   3.6012E-19
1499.04   4.03954E-19   4.03954E-19
1500.04   4.43185E-19   4.43185E-19
1501.04   5.69218E-19   5.69218E-19
1502.04   9.73309E-19   9.73309E-19
1503.04   1.354E-18   1.354E-18
1504.04   8.06171E-19   8.06171E-19
1505.04   5.81886E-19   5.81886E-19
1506.05   3.82808E-19   3.82808E-19
1507.05   3.41526E-19   3.41526E-19
1508.05   3.00244E-19   3.00244E-19
1509.05   2.58962E-19   2.58962E-19
1510.05   2.2468E-19   2.2468E-19
1511.05   2.11398E-19   2.11398E-19
1512.05   1.98117E-19   1.98117E-19
1513.05   1.84836E-19   1.84836E-19
1514.05   1.71555E-19   1.71555E-19
1515.05   1.58273E-19   1.58273E-19
1516.05   1.44992E-19   1.44992E-19
1517.05   1.46469E-19   1.46469E-19
1518.05   1.50551E-19   1.50551E-19
1519.05   1.54633E-19   1.54633E-19
1520.05   1.58714E-19   1.58714E-19
1521.05   1.62796E-19   1.62796E-19
1522.05   3.0056E-19   3.0056E-19
1523.05   4.4536E-19   4.4536E-19
1524.05   5.0875E-19   5.0875E-19
1525.05   3.65179E-19   3.65179E-19
1526.05   2.21607E-19   2.21607E-19
1527.05   1.658E-19   1.658E-19
1528.05   1.80078E-19   1.80078E-19
1529.05   1.61633E-19   1.61633E-19
1530.05   1.43189E-19   1.43189E-19
1531.05   1.24744E-19   1.24744E-19
1532.05   1.063E-19   1.063E-19
1533.05   9.87064E-20   9.87064E-20
1534.05   9.99908E-20   9.99908E-20
1535.05   1.01275E-19   1.01275E-19
1536.05   1.0256E-19   1.0256E-19
1537.05   1.03844E-19   1.03844E-19
1538.05   1.05128E-19   1.05128E-19
1539.05   1.06413E-19   1.06413E-19
1540.05   1.07697E-19   1.07697E-19
1541.05   1.08982E-19   1.08982E-19
1542.05   1.10266E-19   1.10266E-19
1543.05   1.1155E-19   1.1155E-19
1544.05   0   0
1545.05   0   0
1546.05   0   0
1547.05   0   0
1548.05   0   0
1549.05   0   0
1550.05   0   0
1551.05   0   0
1552.05   0   0
1553.05   0   0
1554.05   0   0
1555.05   0   0
1556.05   0   0
1557.05   0   0
1558.05   0   0
1559.05   0   0
1560.05   0   0
1561.05   0   0
1562.05   0   0
1563.05   0   0
1564.05   0   0
1565.05   0   0
1566.05   0   0
1567.05   0   0
1568.05   0   0
1569.05   0   0
1570.05   0   0
1571.05   0   0
1572.05   0   0
1573.05   0   0
1574.06   0   0
1575.06   0   0
1576.06   0   0
1577.06   0   0
1578.06   0   0
1579.06   0   0
1580.06   0   0
1581.06   0   0
1582.06   0   0
1583.06   0   0
1584.06   0   0
1585.06   0   0
1586.06   0   0
1587.06   0   0
1588.06   0   0
1589.06   0   0
1590.06   0   0
1591.06   0   0
1592.06   0   0
1593.06   0   0
1594.06   0   0
1595.06   0   0
1596.06   0   0
1597.06   0   0
1598.06   0   0
1599.06   0   0
1600.06   0   0
1601.06   0   0
1602.06   0   0
