0          References for Cross Section of HNO3      OH/NO2  
Cross section:                                                                  
Lambda = 0.0-1100. A                                                            
   Same as cross section for NO3                                                
Lambda = 1100.-1900. A                                                          
   Okabe, H. (1980)                                                             
   J. Chem. Phys. 72, 6642                                                      
Lambda = 1900.-3300. A                                                          
   Molina, L. T., Molina, M. J. (1980)                                          
   Ultraviolet Absorption Cross Sections of HO2NO2 Vapor, Report No. FAA-eE-80-0
                                                                                
0 Branching ratio for HNO3     OH/NO2       0 branches
  Lambda  OH/NO2  
    0.61  5.30E-23
    1.12  5.10E-22
    2.44  4.20E-21
    6.15  6.40E-20
   12.57  4.70E-19
   22.64  2.50E-18
   23.61  5.20E-19
   24.62  5.80E-19
   29.13  9.20E-19
   30.38  2.60E-19
   62.09  1.40E-18
  121.70  5.70E-18
  248.60  2.10E-17
  625.80  5.30E-17
  915.00  4.50E-17
  940.00  3.00E-17
 1080.00  1.02E-17
 1100.00  1.42E-17
 1120.00  1.13E-17
 1140.00  1.08E-17
 1160.00  1.17E-17
 1180.00  1.11E-17
 1200.00  1.40E-17
 1220.00  1.80E-17
 1240.00  1.15E-17
 1260.00  1.78E-17
 1280.00  1.88E-17
 1300.00  1.80E-17
 1320.00  1.72E-17
 1340.00  2.00E-17
 1360.00  2.65E-17
 1380.00  2.30E-17
 1400.00  1.94E-17
 1420.00  1.30E-17
 1440.00  9.50E-18
 1460.00  7.00E-18
 1480.00  6.10E-18
 1500.00  6.30E-18
 1550.00  7.70E-18
 1600.00  7.90E-18
 1650.00  8.60E-18
 1700.00  9.90E-18
 1750.00  1.17E-17
 1800.00  1.33E-17
 1850.00  1.26E-17
 1900.00  1.56E-17
 1950.00  1.15E-17
 2000.00  6.61E-18
 2050.00  2.93E-18
 2100.00  1.05E-18
 2150.00  3.56E-19
 2200.00  1.51E-19
 2250.00  8.62E-20
 2300.00  5.65E-20
 2350.00  3.72E-20
 2400.00  2.57E-20
 2450.00  2.10E-20
 2500.00  1.91E-20
 2550.00  1.90E-20
 2600.00  1.88E-20
 2650.00  1.71E-20
 2700.00  1.59E-20
 2750.00  1.35E-20
 2800.00  1.10E-20
 2850.00  8.48E-21
 2900.00  6.07E-21
 2950.00  4.09E-21
 3000.00  2.41E-21
 3050.00  1.46E-21
 3100.00  7.10E-22
 3150.00  3.20E-22
 3200.00  1.20E-22
 3250.00  5.00E-23
 3300.00  2.00E-23
 5980.00  1.00E-35
