0          References for Cross Section of HO2       OH/O    
Cross section:                                                                  
Lambda = 1.-1850. A                                                             
    Cross section from H2O2                                                     
                                                                                
0 Branching ratio for HO2      OH/O         0 branches
  Lambda  OH/O    
    1.00  2.00E-22
    5.00  2.00E-20
   10.00  2.00E-19
   22.60  1.10E-18
   23.60  6.00E-20
  100.00  2.00E-18
  200.00  1.00E-17
  300.00  2.00E-17
  400.00  2.50E-17
  500.00  3.00E-17
  600.00  3.40E-17
  700.00  3.50E-17
  800.00  3.00E-17
  900.00  2.40E-17
 1000.00  1.00E-17
 1200.00  1.00E-17
 1250.00  1.00E-17
 1300.00  9.67E-18
 1350.00  7.81E-18
 1400.00  5.58E-18
 1450.00  4.28E-18
 1500.00  3.72E-18
 1550.00  3.53E-18
 1600.00  3.72E-18
 1650.00  4.09E-18
 1700.00  3.53E-18
 1750.00  2.05E-18
 1800.00  1.30E-18
 1850.00  1.04E-18
 1900.00  4.30E-18
 2000.00  4.80E-18
 2100.00  4.90E-18
 2200.00  4.00E-18
 2300.00  2.60E-18
 2400.00  1.20E-18
 2500.00  5.00E-19
 4395.00  1.00E-30
