0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
1200.00   6.21E-18  6.21E-18
1201.00   6.21E-18  6.21E-18
1202.00   6.21E-18  6.21E-18
1203.00   6.21E-18  6.21E-18
1204.00   6.21E-18  6.21E-18
1205.00   6.21E-18  6.21E-18
1206.00   6.21E-18  6.21E-18
1207.00   6.21E-18  6.21E-18
1208.00   6.21E-18  6.21E-18
1209.00   6.21E-18  6.21E-18
1210.00   6.22E-18  6.22E-18
1211.00   6.22E-18  6.22E-18
1212.00   6.22E-18  6.22E-18
1213.00   6.22E-18  6.22E-18
1214.00   6.22E-18  6.22E-18
1215.00   6.22E-18  6.22E-18
1216.00   6.22E-18  6.22E-18
1217.00   6.22E-18  6.22E-18
1218.00   6.22E-18  6.22E-18
1219.00   6.23E-18  6.23E-18
1220.00   6.23E-18  6.23E-18
1221.00   6.23E-18  6.23E-18
1222.00   6.23E-18  6.23E-18
1223.00   6.23E-18  6.23E-18
1224.00   6.23E-18  6.23E-18
1225.00   6.23E-18  6.23E-18
1226.00   6.23E-18  6.23E-18
1227.00   6.23E-18  6.23E-18
1228.00   6.23E-18  6.23E-18
1229.00   6.24E-18  6.24E-18
1230.00   6.24E-18  6.24E-18
1231.00   6.24E-18  6.24E-18
1232.00   6.24E-18  6.24E-18
1233.00   6.24E-18  6.24E-18
1234.01   6.24E-18  6.24E-18
1235.01   6.24E-18  6.24E-18
1236.01   6.24E-18  6.24E-18
1237.01   6.24E-18  6.24E-18
1238.01   6.25E-18  6.25E-18
1239.01   6.25E-18  6.25E-18
1240.01   6.25E-18  6.25E-18
1241.01   6.25E-18  6.25E-18
1242.01   6.25E-18  6.25E-18
1243.01   6.25E-18  6.25E-18
1244.01   6.25E-18  6.25E-18
1245.01   6.25E-18  6.25E-18
1246.01   6.25E-18  6.25E-18
1247.01   6.25E-18  6.25E-18
1248.01   6.26E-18  6.26E-18
1249.01   6.26E-18  6.26E-18
1250.01   6.26E-18  6.26E-18
1251.01   6.26E-18  6.26E-18
1252.01   6.26E-18  6.26E-18
1253.01   6.26E-18  6.26E-18
1254.01   6.26E-18  6.26E-18
1255.01   6.26E-18  6.26E-18
1256.01   6.26E-18  6.26E-18
1257.01   6.26E-18  6.26E-18
1258.01   6.27E-18  6.27E-18
1259.01   6.27E-18  6.27E-18
1260.01   6.27E-18  6.27E-18
1261.01   6.27E-18  6.27E-18
1262.01   6.27E-18  6.27E-18
1263.01   6.27E-18  6.27E-18
1264.01   6.27E-18  6.27E-18
1265.01   6.27E-18  6.27E-18
1266.01   6.27E-18  6.27E-18
1267.01   6.28E-18  6.28E-18
1268.01   6.28E-18  6.28E-18
1269.01   6.28E-18  6.28E-18
1270.01   6.28E-18  6.28E-18
1271.01   6.28E-18  6.28E-18
1272.01   6.28E-18  6.28E-18
1273.01   6.28E-18  6.28E-18
1274.01   6.28E-18  6.28E-18
1275.01   6.28E-18  6.28E-18
1276.01   6.28E-18  6.28E-18
1277.01   6.29E-18  6.29E-18
1278.01   6.29E-18  6.29E-18
1279.01   6.29E-18  6.29E-18
1280.01   6.29E-18  6.29E-18
1281.01   6.29E-18  6.29E-18
1282.01   6.29E-18  6.29E-18
1283.01   6.29E-18  6.29E-18
1284.01   6.29E-18  6.29E-18
1285.01   6.29E-18  6.29E-18
1286.01   6.30E-18  6.30E-18
1287.01   6.30E-18  6.30E-18
1288.01   6.30E-18  6.30E-18
1289.01   6.30E-18  6.30E-18
1290.01   6.30E-18  6.30E-18
1291.01   6.30E-18  6.30E-18
1292.01   6.30E-18  6.30E-18
1293.01   6.30E-18  6.30E-18
1294.01   6.30E-18  6.30E-18
1295.01   6.30E-18  6.30E-18
1296.01   6.31E-18  6.31E-18
1297.01   6.31E-18  6.31E-18
1298.01   6.31E-18  6.31E-18
1299.01   6.31E-18  6.31E-18
1300.01   6.31E-18  6.31E-18
1301.01   6.31E-18  6.31E-18
1302.02   6.31E-18  6.31E-18
1303.02   6.31E-18  6.31E-18
1304.02   6.31E-18  6.31E-18
1305.02   6.31E-18  6.31E-18
1306.02   6.32E-18  6.32E-18
1307.02   6.32E-18  6.32E-18
1308.02   6.32E-18  6.32E-18
1309.02   6.32E-18  6.32E-18
1310.02   6.32E-18  6.32E-18
1311.02   6.32E-18  6.32E-18
1312.02   6.32E-18  6.32E-18
1313.02   6.32E-18  6.32E-18
1314.02   6.32E-18  6.32E-18
1315.02   6.33E-18  6.33E-18
1316.02   6.33E-18  6.33E-18
1317.02   6.33E-18  6.33E-18
1318.02   6.33E-18  6.33E-18
1319.02   6.33E-18  6.33E-18
1320.02   6.33E-18  6.33E-18
1321.02   6.33E-18  6.33E-18
1322.02   6.33E-18  6.33E-18
1323.02   6.33E-18  6.33E-18
1324.02   6.33E-18  6.33E-18
1325.02   6.34E-18  6.34E-18
1326.02   6.34E-18  6.34E-18
1327.02   6.34E-18  6.34E-18
1328.02   6.34E-18  6.34E-18
1329.02   6.34E-18  6.34E-18
1330.02   6.34E-18  6.34E-18
1331.02   6.34E-18  6.34E-18
1332.02   6.34E-18  6.34E-18
1333.02   6.34E-18  6.34E-18
1334.02   6.35E-18  6.35E-18
1335.02   6.35E-18  6.35E-18
1336.02   6.35E-18  6.35E-18
1337.02   6.35E-18  6.35E-18
1338.02   6.35E-18  6.35E-18
1339.02   6.35E-18  6.35E-18
1340.02   6.35E-18  6.35E-18
1341.02   6.35E-18  6.35E-18
1342.02   6.35E-18  6.35E-18
1343.02   6.35E-18  6.35E-18
1344.02   6.36E-18  6.36E-18
1345.02   6.36E-18  6.36E-18
1346.02   6.36E-18  6.36E-18
1347.02   6.36E-18  6.36E-18
1348.02   6.36E-18  6.36E-18
1349.02   6.36E-18  6.36E-18
1350.02   6.36E-18  6.36E-18
1351.02   6.36E-18  6.36E-18
1352.02   6.36E-18  6.36E-18
1353.02   6.36E-18  6.36E-18
1354.02   6.37E-18  6.37E-18
1355.02   6.37E-18  6.37E-18
1356.02   6.37E-18  6.37E-18
1357.02   6.37E-18  6.37E-18
1358.02   6.37E-18  6.37E-18
1359.02   6.37E-18  6.37E-18
1360.02   6.37E-18  6.37E-18
1361.02   6.37E-18  6.37E-18
1362.02   6.37E-18  6.37E-18
1363.02   6.38E-18  6.38E-18
1364.02   6.38E-18  6.38E-18
1365.02   6.38E-18  6.38E-18
1366.02   6.38E-18  6.38E-18
1367.02   6.38E-18  6.38E-18
1368.02   6.38E-18  6.38E-18
1369.02   6.38E-18  6.38E-18
1370.03   6.38E-18  6.38E-18
1371.03   6.38E-18  6.38E-18
1372.03   6.38E-18  6.38E-18
1373.03   6.39E-18  6.39E-18
1374.03   6.39E-18  6.39E-18
1375.03   6.39E-18  6.39E-18
1376.03   6.39E-18  6.39E-18
1377.03   6.39E-18  6.39E-18
1378.03   6.39E-18  6.39E-18
1379.03   6.39E-18  6.39E-18
1380.03   6.39E-18  6.39E-18
1381.03   6.39E-18  6.39E-18
1382.03   6.40E-18  6.40E-18
1383.03   6.40E-18  6.40E-18
1384.03   6.40E-18  6.40E-18
1385.03   6.40E-18  6.40E-18
1386.03   6.40E-18  6.40E-18
1387.03   6.40E-18  6.40E-18
1388.03   6.40E-18  6.40E-18
1389.03   6.40E-18  6.40E-18
1390.03   6.40E-18  6.40E-18
1391.03   6.40E-18  6.40E-18
1392.03   6.41E-18  6.41E-18
1393.03   6.41E-18  6.41E-18
1394.03   6.41E-18  6.41E-18
1395.03   6.41E-18  6.41E-18
1396.03   6.41E-18  6.41E-18
1397.03   6.41E-18  6.41E-18
1398.03   6.41E-18  6.41E-18
1399.03   6.41E-18  6.41E-18
1400.03   6.41E-18  6.41E-18
1401.03   6.41E-18  6.41E-18
1402.03   6.42E-18  6.42E-18
1403.03   6.42E-18  6.42E-18
1404.03   6.42E-18  6.42E-18
1405.03   6.42E-18  6.42E-18
1406.03   6.42E-18  6.42E-18
1407.03   6.42E-18  6.42E-18
1408.03   6.42E-18  6.42E-18
1409.03   6.42E-18  6.42E-18
1410.03   6.42E-18  6.42E-18
1411.03   6.43E-18  6.43E-18
1412.03   6.43E-18  6.43E-18
1413.03   6.43E-18  6.43E-18
1414.03   6.43E-18  6.43E-18
1415.03   6.43E-18  6.43E-18
1416.03   6.43E-18  6.43E-18
1417.03   6.43E-18  6.43E-18
1418.03   6.43E-18  6.43E-18
1419.03   6.43E-18  6.43E-18
1420.03   6.43E-18  6.43E-18
1421.03   6.44E-18  6.44E-18
1422.03   6.44E-18  6.44E-18
1423.03   6.44E-18  6.44E-18
1424.03   6.44E-18  6.44E-18
1425.03   6.44E-18  6.44E-18
1426.03   6.44E-18  6.44E-18
1427.03   6.44E-18  6.44E-18
1428.03   6.44E-18  6.44E-18
1429.03   6.44E-18  6.44E-18
1430.03   6.44E-18  6.44E-18
1431.03   6.45E-18  6.45E-18
1432.03   6.45E-18  6.45E-18
1433.03   6.45E-18  6.45E-18
1434.03   6.45E-18  6.45E-18
1435.03   6.45E-18  6.45E-18
1436.03   6.45E-18  6.45E-18
1437.03   6.45E-18  6.45E-18
1438.04   6.45E-18  6.45E-18
1439.04   6.45E-18  6.45E-18
1440.04   6.46E-18  6.46E-18
1441.04   6.46E-18  6.46E-18
1442.04   6.46E-18  6.46E-18
1443.04   6.46E-18  6.46E-18
1444.04   6.46E-18  6.46E-18
1445.04   6.46E-18  6.46E-18
1446.04   6.46E-18  6.46E-18
1447.04   6.46E-18  6.46E-18
1448.04   6.46E-18  6.46E-18
1449.04   6.46E-18  6.46E-18
1450.04   6.47E-18  6.47E-18
1451.04   6.47E-18  6.47E-18
1452.04   6.47E-18  6.47E-18
1453.04   6.47E-18  6.47E-18
1454.04   6.47E-18  6.47E-18
1455.04   6.47E-18  6.47E-18
1456.04   6.47E-18  6.47E-18
1457.04   6.47E-18  6.47E-18
1458.04   6.47E-18  6.47E-18
1459.04   6.48E-18  6.48E-18
1460.04   6.48E-18  6.48E-18
1461.04   6.48E-18  6.48E-18
1462.04   6.48E-18  6.48E-18
1463.04   6.48E-18  6.48E-18
1464.04   6.48E-18  6.48E-18
1465.04   6.48E-18  6.48E-18
1466.04   6.48E-18  6.48E-18
1467.04   6.48E-18  6.48E-18
1468.04   6.48E-18  6.48E-18
1469.04   6.49E-18  6.49E-18
1470.04   6.49E-18  6.49E-18
1471.04   6.49E-18  6.49E-18
1472.04   6.49E-18  6.49E-18
1473.04   6.49E-18  6.49E-18
1474.04   6.49E-18  6.49E-18
1475.04   6.49E-18  6.49E-18
1476.04   6.49E-18  6.49E-18
1477.04   6.49E-18  6.49E-18
1478.04   6.49E-18  6.49E-18
