0 Branching ratio for O3      Total        2 branches
Lambda        Total        O2/O(1D)      O2/O
1200.00   1.72E-17  0.00E+00  1.72E-17
1201.00   1.80E-17  0.00E+00  1.80E-17
1202.00   1.87E-17  0.00E+00  1.87E-17
1203.00   1.92E-17  0.00E+00  1.92E-17
1204.00   1.97E-17  0.00E+00  1.97E-17
1205.00   2.02E-17  0.00E+00  2.02E-17
1206.00   2.07E-17  0.00E+00  2.07E-17
1207.00   2.12E-17  0.00E+00  2.12E-17
1208.00   2.17E-17  0.00E+00  2.17E-17
1209.00   2.20E-17  0.00E+00  2.20E-17
1210.00   2.21E-17  0.00E+00  2.21E-17
1211.00   2.23E-17  0.00E+00  2.23E-17
1212.00   2.24E-17  0.00E+00  2.24E-17
1213.00   2.26E-17  0.00E+00  2.26E-17
1214.00   2.27E-17  0.00E+00  2.27E-17
1215.00   2.29E-17  0.00E+00  2.29E-17
1216.00   2.30E-17  0.00E+00  2.30E-17
1217.00   2.29E-17  0.00E+00  2.29E-17
1218.00   2.29E-17  0.00E+00  2.29E-17
1219.00   2.28E-17  0.00E+00  2.28E-17
1220.00   2.28E-17  0.00E+00  2.28E-17
1221.00   2.27E-17  0.00E+00  2.27E-17
1222.00   2.27E-17  0.00E+00  2.27E-17
1223.00   2.26E-17  0.00E+00  2.26E-17
1224.00   2.25E-17  0.00E+00  2.25E-17
1225.00   2.22E-17  0.00E+00  2.22E-17
1226.00   2.19E-17  0.00E+00  2.19E-17
1227.00   2.17E-17  0.00E+00  2.17E-17
1228.00   2.14E-17  0.00E+00  2.14E-17
1229.00   2.11E-17  0.00E+00  2.11E-17
1230.00   2.09E-17  0.00E+00  2.09E-17
1231.00   2.06E-17  0.00E+00  2.06E-17
1232.00   1.96E-17  0.00E+00  1.96E-17
1233.00   1.86E-17  0.00E+00  1.86E-17
1234.01   1.76E-17  0.00E+00  1.76E-17
1235.01   1.65E-17  0.00E+00  1.65E-17
1236.01   1.55E-17  0.00E+00  1.55E-17
1237.01   1.45E-17  0.00E+00  1.45E-17
1238.01   1.35E-17  0.00E+00  1.35E-17
1239.01   1.27E-17  0.00E+00  1.27E-17
1240.01   1.22E-17  0.00E+00  1.22E-17
1241.01   1.16E-17  0.00E+00  1.16E-17
1242.01   1.11E-17  0.00E+00  1.11E-17
1243.01   1.05E-17  0.00E+00  1.05E-17
1244.01   1.00E-17  0.00E+00  1.00E-17
1245.01   9.45E-18  0.00E+00  9.45E-18
1246.01   8.91E-18  0.00E+00  8.91E-18
1247.01   8.70E-18  0.00E+00  8.70E-18
1248.01   8.49E-18  0.00E+00  8.49E-18
1249.01   8.28E-18  0.00E+00  8.28E-18
1250.01   8.07E-18  0.00E+00  8.07E-18
1251.01   7.86E-18  0.00E+00  7.86E-18
1252.01   7.66E-18  0.00E+00  7.66E-18
1253.01   7.45E-18  0.00E+00  7.45E-18
1254.01   7.24E-18  0.00E+00  7.24E-18
1255.01   7.10E-18  0.00E+00  7.10E-18
1256.01   6.95E-18  0.00E+00  6.95E-18
1257.01   6.81E-18  0.00E+00  6.81E-18
1258.01   6.66E-18  0.00E+00  6.66E-18
1259.01   6.52E-18  0.00E+00  6.52E-18
1260.01   6.38E-18  0.00E+00  6.38E-18
1261.01   6.23E-18  0.00E+00  6.23E-18
1262.01   6.09E-18  0.00E+00  6.09E-18
1263.01   6.04E-18  0.00E+00  6.04E-18
1264.01   5.98E-18  0.00E+00  5.98E-18
1265.01   5.93E-18  0.00E+00  5.93E-18
1266.01   5.87E-18  0.00E+00  5.87E-18
1267.01   5.82E-18  0.00E+00  5.82E-18
1268.01   5.77E-18  0.00E+00  5.77E-18
1269.01   5.71E-18  0.00E+00  5.71E-18
1270.01   5.66E-18  0.00E+00  5.66E-18
1271.01   5.69E-18  0.00E+00  5.69E-18
1272.01   5.71E-18  0.00E+00  5.71E-18
1273.01   5.74E-18  0.00E+00  5.74E-18
1274.01   5.77E-18  0.00E+00  5.77E-18
1275.01   5.79E-18  0.00E+00  5.79E-18
1276.01   5.82E-18  0.00E+00  5.82E-18
1277.01   5.84E-18  0.00E+00  5.84E-18
1278.01   5.87E-18  0.00E+00  5.87E-18
1279.01   5.95E-18  0.00E+00  5.95E-18
1280.01   6.02E-18  0.00E+00  6.02E-18
1281.01   6.10E-18  0.00E+00  6.10E-18
1282.01   6.17E-18  0.00E+00  6.17E-18
1283.01   6.25E-18  0.00E+00  6.25E-18
1284.01   6.32E-18  0.00E+00  6.32E-18
1285.01   6.40E-18  0.00E+00  6.40E-18
1286.01   6.47E-18  0.00E+00  6.47E-18
1287.01   6.67E-18  0.00E+00  6.67E-18
1288.01   6.87E-18  0.00E+00  6.87E-18
1289.01   7.06E-18  0.00E+00  7.06E-18
1290.01   7.26E-18  0.00E+00  7.26E-18
1291.01   7.45E-18  0.00E+00  7.45E-18
1292.01   7.65E-18  0.00E+00  7.65E-18
1293.01   7.85E-18  0.00E+00  7.85E-18
1294.01   8.04E-18  0.00E+00  8.04E-18
1295.01   8.40E-18  0.00E+00  8.40E-18
1296.01   8.90E-18  0.00E+00  8.90E-18
1297.01   9.40E-18  0.00E+00  9.40E-18
1298.01   9.90E-18  0.00E+00  9.90E-18
1299.01   1.04E-17  0.00E+00  1.04E-17
1300.01   1.09E-17  0.00E+00  1.09E-17
1301.01   1.14E-17  0.00E+00  1.14E-17
1302.02   1.19E-17  0.00E+00  1.19E-17
1303.02   1.24E-17  0.00E+00  1.24E-17
1304.02   1.27E-17  0.00E+00  1.27E-17
1305.02   1.31E-17  0.00E+00  1.31E-17
1306.02   1.34E-17  0.00E+00  1.34E-17
1307.02   1.37E-17  0.00E+00  1.37E-17
1308.02   1.41E-17  0.00E+00  1.41E-17
1309.02   1.44E-17  0.00E+00  1.44E-17
1310.02   1.47E-17  0.00E+00  1.47E-17
1311.02   1.50E-17  0.00E+00  1.50E-17
1312.02   1.52E-17  0.00E+00  1.52E-17
1313.02   1.51E-17  0.00E+00  1.51E-17
1314.02   1.51E-17  0.00E+00  1.51E-17
1315.02   1.50E-17  0.00E+00  1.50E-17
1316.02   1.49E-17  0.00E+00  1.49E-17
1317.02   1.49E-17  0.00E+00  1.49E-17
1318.02   1.48E-17  0.00E+00  1.48E-17
1319.02   1.48E-17  0.00E+00  1.48E-17
1320.02   1.47E-17  0.00E+00  1.47E-17
1321.02   1.47E-17  0.00E+00  1.47E-17
1322.02   1.48E-17  0.00E+00  1.48E-17
1323.02   1.48E-17  0.00E+00  1.48E-17
1324.02   1.49E-17  0.00E+00  1.49E-17
1325.02   1.49E-17  0.00E+00  1.49E-17
1326.02   1.50E-17  0.00E+00  1.50E-17
1327.02   1.50E-17  0.00E+00  1.50E-17
1328.02   1.51E-17  0.00E+00  1.51E-17
1329.02   1.51E-17  0.00E+00  1.51E-17
1330.02   1.51E-17  0.00E+00  1.51E-17
1331.02   1.51E-17  0.00E+00  1.51E-17
1332.02   1.51E-17  0.00E+00  1.51E-17
1333.02   1.51E-17  0.00E+00  1.51E-17
1334.02   1.51E-17  0.00E+00  1.51E-17
1335.02   1.51E-17  0.00E+00  1.51E-17
1336.02   1.51E-17  0.00E+00  1.51E-17
1337.02   1.51E-17  0.00E+00  1.51E-17
1338.02   1.52E-17  0.00E+00  1.52E-17
1339.02   1.53E-17  0.00E+00  1.53E-17
1340.02   1.55E-17  0.00E+00  1.55E-17
1341.02   1.56E-17  0.00E+00  1.56E-17
1342.02   1.58E-17  0.00E+00  1.58E-17
1343.02   1.60E-17  0.00E+00  1.60E-17
1344.02   1.61E-17  0.00E+00  1.61E-17
1345.02   1.63E-17  0.00E+00  1.63E-17
1346.02   1.64E-17  0.00E+00  1.64E-17
1347.02   1.64E-17  0.00E+00  1.64E-17
1348.02   1.63E-17  0.00E+00  1.63E-17
1349.02   1.62E-17  0.00E+00  1.62E-17
1350.02   1.61E-17  0.00E+00  1.61E-17
1351.02   1.59E-17  0.00E+00  1.59E-17
1352.02   1.58E-17  0.00E+00  1.58E-17
1353.02   1.57E-17  0.00E+00  1.57E-17
1354.02   1.56E-17  0.00E+00  1.56E-17
1355.02   1.55E-17  0.00E+00  1.55E-17
1356.02   1.53E-17  0.00E+00  1.53E-17
1357.02   1.51E-17  0.00E+00  1.51E-17
1358.02   1.49E-17  0.00E+00  1.49E-17
1359.02   1.47E-17  0.00E+00  1.47E-17
1360.02   1.45E-17  0.00E+00  1.45E-17
1361.02   1.43E-17  0.00E+00  1.43E-17
1362.02   1.41E-17  0.00E+00  1.41E-17
1363.02   1.39E-17  0.00E+00  1.39E-17
1364.02   1.37E-17  0.00E+00  1.37E-17
1365.02   1.35E-17  0.00E+00  1.35E-17
1366.02   1.32E-17  0.00E+00  1.32E-17
1367.02   1.29E-17  0.00E+00  1.29E-17
1368.02   1.25E-17  0.00E+00  1.25E-17
1369.02   1.22E-17  0.00E+00  1.22E-17
1370.03   1.19E-17  0.00E+00  1.19E-17
1371.03   1.16E-17  0.00E+00  1.16E-17
1372.03   1.13E-17  0.00E+00  1.13E-17
1373.03   1.10E-17  0.00E+00  1.10E-17
1374.03   1.06E-17  0.00E+00  1.06E-17
1375.03   1.04E-17  0.00E+00  1.04E-17
1376.03   1.01E-17  0.00E+00  1.01E-17
1377.03   9.83E-18  0.00E+00  9.83E-18
1378.03   9.56E-18  0.00E+00  9.56E-18
1379.03   9.29E-18  0.00E+00  9.29E-18
1380.03   9.03E-18  0.00E+00  9.03E-18
1381.03   8.76E-18  0.00E+00  8.76E-18
1382.03   8.50E-18  0.00E+00  8.50E-18
1383.03   8.23E-18  0.00E+00  8.23E-18
1384.03   7.97E-18  0.00E+00  7.97E-18
1385.03   7.91E-18  0.00E+00  7.91E-18
1386.03   7.86E-18  0.00E+00  7.86E-18
1387.03   7.80E-18  0.00E+00  7.80E-18
1388.03   7.75E-18  0.00E+00  7.75E-18
1389.03   7.69E-18  0.00E+00  7.69E-18
1390.03   7.64E-18  0.00E+00  7.64E-18
1391.03   7.58E-18  0.00E+00  7.58E-18
1392.03   7.53E-18  0.00E+00  7.53E-18
1393.03   7.47E-18  0.00E+00  7.47E-18
1394.03   7.42E-18  0.00E+00  7.42E-18
1395.03   7.36E-18  0.00E+00  7.36E-18
1396.03   7.31E-18  0.00E+00  7.31E-18
1397.03   7.25E-18  0.00E+00  7.25E-18
1398.03   7.20E-18  0.00E+00  7.20E-18
1399.03   7.15E-18  0.00E+00  7.15E-18
1400.03   7.10E-18  0.00E+00  7.10E-18
1401.03   7.05E-18  0.00E+00  7.05E-18
1402.03   7.01E-18  0.00E+00  7.01E-18
1403.03   6.96E-18  0.00E+00  6.96E-18
1404.03   6.92E-18  0.00E+00  6.92E-18
1405.03   6.87E-18  0.00E+00  6.87E-18
1406.03   6.83E-18  0.00E+00  6.83E-18
1407.03   6.78E-18  0.00E+00  6.78E-18
1408.03   6.74E-18  0.00E+00  6.74E-18
1409.03   6.69E-18  0.00E+00  6.69E-18
1410.03   6.64E-18  0.00E+00  6.64E-18
1411.03   6.60E-18  0.00E+00  6.60E-18
1412.03   6.55E-18  0.00E+00  6.55E-18
1413.03   6.51E-18  0.00E+00  6.51E-18
1414.03   6.46E-18  0.00E+00  6.46E-18
1415.03   6.42E-18  0.00E+00  6.42E-18
1416.03   6.37E-18  0.00E+00  6.37E-18
1417.03   6.32E-18  0.00E+00  6.32E-18
1418.03   6.28E-18  0.00E+00  6.28E-18
