#this file has been interpolated to have an equally spaced grid
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)
#alt in km, Tgas in K, chemical species in ppbv
5 55
index	alt	dummy	Tgas	dummy	H2CO	O(3P)	H2O	OH	HO2	H2O2	O3	H	H2	CH4	CO	CH3OOH	CH3O2	N2O	NO	NO2	HNO2	HNO3	HO2NO2	NO3	N2O5	CL2O2	CH3CL	HOCL	CL	CLO	HCL	CLONO2	H2S	HS	SO	SO2	H2SO4	HSO	CH2_1	CH2_3	O(1D)	CH3	H3CO	HCO	N	NOCL	CLONO	CLO2	CL2	S	SO21	SO23	HSO3	SO3	S2	O2	CO2	N2	O
1	1.01406	902.20151	283.03792	0.03833	0.17096	0.0	9365918.94014	6e-05	0.0114	1.08975	21.07978	0.0	553.49368	1610.0	85.95309	0.50061	0.00576	302.0	0.00475	0.01184	3e-05	0.07968	0.00038	1e-05	0.0	0.0	0.49756	0.00014	0.0	1e-05	0.00753	0.00028	0.00242	0.0	0.0	0.04464	0.00314	4e-05	0.04278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
2	2.02813	797.63786	277.58189	0.03456	0.17207	0.0	6442256.8932	7e-05	0.0116	1.09066	24.92466	0.0	554.0	1605.16379	78.16956	0.46153	0.00552	302.0	0.00609	0.01372	4e-05	0.1179	0.00087	1e-05	0.0	0.0	0.48913	0.00017	0.0	1e-05	0.01043	0.00039	0.00249	0.0	0.0	0.06896	0.00543	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
3	3.04219	703.45382	272.16359	0.03114	0.16385	0.0	4178711.47059	9e-05	0.01136	1.01044	29.85277	0.0	554.47274	1600.0	71.46904	0.38267	0.00493	302.0	0.00797	0.01617	6e-05	0.16033	0.00206	1e-05	0.0	0.0	0.48216	0.00019	0.0	2e-05	0.01328	0.0005	0.00263	0.0	0.0	0.09245	0.00789	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
4	4.05625	618.18015	265.73162	0.028	0.14766	0.0	2509669.11765	0.0001	0.01059	0.85715	35.54816	0.0	555.0	1600.0	65.72537	0.28337	0.00404	302.0	0.01072	0.01915	8e-05	0.20074	0.00516	1e-05	1e-05	0.0	0.47667	0.00019	0.0	2e-05	0.01568	0.00062	0.00289	0.0	0.0	0.11621	0.01027	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
5	5.07031	541.80165	258.77238	0.02516	0.12409	0.0	1385164.52941	0.00011	0.00929	0.66624	41.61264	0.0	555.0	1600.0	60.91732	0.18981	0.00304	302.0	0.01421	0.02158	0.0001	0.23253	0.01315	1e-05	2e-05	0.0	0.47216	0.00017	0.0	3e-05	0.01754	0.00069	0.00333	0.0	0.0	0.14145	0.01224	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
6	6.08438	472.95188	251.3578	0.02261	0.09393	0.0	679354.72549	0.00011	0.00756	0.47796	47.54059	0.0	555.45527	1595.44725	57.05207	0.11737	0.0021	301.54473	0.01716	0.02136	0.00011	0.25101	0.02952	1e-05	3e-05	0.0	0.46863	0.00014	0.0	3e-05	0.0189	0.00068	0.00406	0.0	0.0	0.16966	0.01319	9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
7	7.09844	411.18493	242.54913	0.02037	0.06357	0.0	288837.98058	0.0001	0.00565	0.31958	53.237	0.0	556.0	1590.0	53.99826	0.06828	0.00132	301.0	0.01932	0.01858	0.0001	0.25967	0.05003	0.0	4e-05	0.0	0.46611	0.0001	0.0	3e-05	0.01995	0.0006	0.00505	0.0	0.0	0.19802	0.01303	0.00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
8	8.1125	356.00735	233.09559	0.01833	0.041	0.0	104489.70588	9e-05	0.00392	0.20222	58.82941	0.0	556.0	1590.0	51.54559	0.03656	0.00074	301.0	0.02442	0.01702	0.0001	0.26647	0.0621	0.0	4e-05	0.0	0.46413	6e-05	0.0	3e-05	0.02093	0.0005	0.00603	0.0	0.0	0.22124	0.01244	0.00012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
9	9.12656	305.884	224.576	0.01634	0.02723	0.0	33731.2	9e-05	0.0026	0.12097	65.0816	0.0	556.0	1590.0	49.3584	0.01764	0.00037	301.0	0.03595	0.01833	0.00013	0.27742	0.05995	0.0	4e-05	0.0	0.46257	3e-05	0.0	3e-05	0.02206	0.00043	0.00659	0.0	0.0	0.23414	0.01167	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
10	10.14063	260.73085	218.26008	0.01433	0.01857	0.0	14059.62727	9e-05	0.00174	0.06362	74.94173	0.0	556.0	1590.0	46.79506	0.00738	0.0002	301.0	0.05149	0.02118	0.00016	0.30079	0.04945	0.0	3e-05	0.0	0.4607	2e-05	0.0	3e-05	0.02402	0.00039	0.00523	0.0	0.0	0.21569	0.00975	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
